track,problem_id,AC,WA,TLE,RE,MLE,CE,OTHER,n_attempts
CoT,ABC392,72,28,0,0,0,0,0,100
CoT,ABC393,58,41,0,1,0,0,0,100
CoT,ABC394,69,31,0,0,0,0,0,100
CoT,ABC395,98,2,0,0,0,0,0,100
CoT,ABC396,98,2,0,0,0,0,0,100
CoT,ABC397,100,0,0,0,0,0,0,100
CoT,ABC398,0,100,0,0,0,0,0,100
CoT,ABC399,100,0,0,0,0,0,0,100
CoT,ABC400,50,50,0,0,0,0,0,100
CoT,ABC401,100,0,0,0,0,0,0,100
CoT,ABC402,0,100,0,0,0,0,0,100
CoT,ABC403,67,31,0,2,0,0,0,100
CoT,ABC404,0,97,0,3,0,0,0,100
CoT,ABC405,99,1,0,0,0,0,0,100
CoT,ABC406,41,59,0,0,0,0,0,100
CoT,ABC407,41,59,0,0,0,0,0,100
CoT,ABC408,21,76,0,3,0,0,0,100
CoT,ABC409,83,13,2,2,0,0,0,100
CoT,ABC410,36,64,0,0,0,0,0,100
CoT,ABC411,99,0,0,1,0,0,0,100
CoT,ABC412,95,5,0,0,0,0,0,100
CoT,ABC413,100,0,0,0,0,0,0,100
CoT,ABC414,29,71,0,0,0,0,0,100
CoT,ABC415,98,1,0,1,0,0,0,100
CoT,ABC416,62,5,0,33,0,0,0,100
CoT,ABC417,53,29,0,18,0,0,0,100
CoT,ABC418,89,4,0,7,0,0,0,100
CoT,ABC419,98,2,0,0,0,0,0,100
CoT,ABC420,33,62,0,5,0,0,0,100
CoT,ABC421,1,72,0,27,0,0,0,100
baseline,ABC392,72,28,0,0,0,0,0,100
baseline,ABC393,58,41,0,1,0,0,0,100
baseline,ABC394,69,31,0,0,0,0,0,100
baseline,ABC395,98,2,0,0,0,0,0,100
baseline,ABC396,98,2,0,0,0,0,0,100
baseline,ABC397,100,0,0,0,0,0,0,100
baseline,ABC398,0,100,0,0,0,0,0,100
baseline,ABC399,100,0,0,0,0,0,0,100
baseline,ABC400,66,34,0,0,0,0,0,100
baseline,ABC401,100,0,0,0,0,0,0,100
baseline,ABC402,100,0,0,0,0,0,0,100
baseline,ABC403,80,20,0,0,0,0,0,100
baseline,ABC404,0,99,0,1,0,0,0,100
baseline,ABC405,98,2,0,0,0,0,0,100
baseline,ABC406,27,73,0,0,0,0,0,100
baseline,ABC407,38,61,1,0,0,0,0,100
baseline,ABC408,49,48,0,3,0,0,0,100
baseline,ABC409,75,23,0,2,0,0,0,100
baseline,ABC410,24,76,0,0,0,0,0,100
baseline,ABC411,97,0,0,3,0,0,0,100
baseline,ABC412,84,16,0,0,0,0,0,100
baseline,ABC413,100,0,0,0,0,0,0,100
baseline,ABC414,7,93,0,0,0,0,0,100
baseline,ABC415,0,0,0,100,0,0,0,100
baseline,ABC416,62,5,0,33,0,0,0,100
baseline,ABC417,72,10,0,18,0,0,0,100
baseline,ABC418,83,5,0,12,0,0,0,100
baseline,ABC419,100,0,0,0,0,0,0,100
baseline,ABC420,25,71,0,4,0,0,0,100
baseline,ABC421,0,54,0,46,0,0,0,100
feedback,ABC392,94,6,0,0,0,0,0,100
feedback,ABC393,59,40,0,1,0,0,0,100
feedback,ABC394,92,8,0,0,0,0,0,100
feedback,ABC395,100,0,0,0,0,0,0,100
feedback,ABC396,99,0,0,1,0,0,0,100
feedback,ABC397,100,0,0,0,0,0,0,100
feedback,ABC398,11,85,0,4,0,0,0,100
feedback,ABC399,100,0,0,0,0,0,0,100
feedback,ABC400,85,15,0,0,0,0,0,100
feedback,ABC401,100,0,0,0,0,0,0,100
feedback,ABC402,100,0,0,0,0,0,0,100
feedback,ABC403,100,0,0,0,0,0,0,100
feedback,ABC404,0,89,0,11,0,0,0,100
feedback,ABC405,100,0,0,0,0,0,0,100
feedback,ABC406,42,57,0,1,0,0,0,100
feedback,ABC407,60,38,0,2,0,0,0,100
feedback,ABC408,68,31,0,1,0,0,0,100
feedback,ABC409,96,3,0,1,0,0,0,100
feedback,ABC410,57,43,0,0,0,0,0,100
feedback,ABC411,99,0,0,1,0,0,0,100
feedback,ABC412,88,11,0,1,0,0,0,100
feedback,ABC413,100,0,0,0,0,0,0,100
feedback,ABC414,20,78,0,2,0,0,0,100
feedback,ABC415,100,0,0,0,0,0,0,100
feedback,ABC416,92,1,0,7,0,0,0,100
feedback,ABC417,88,1,0,11,0,0,0,100
feedback,ABC418,90,8,0,2,0,0,0,100
feedback,ABC419,100,0,0,0,0,0,0,100
feedback,ABC420,53,44,0,3,0,0,0,100
feedback,ABC421,1,74,0,25,0,0,0,100
