problem_id,bytes_raw,B_hat,z_B_hat,s_byte,time_sec,TL_sec,R,T_hat,z_T_hat,s_time,AC_human,H,z_H,s_H,WA_human,z_WA_human,s_WA,r_p,r_p_,w
ABC392,194.0,2.287801729930226,0.23201818290257847,2,0.061897,2.0,0.0309485,0.030479252283810217,-1.3701334447837226,0,0.795538,0.20446200000000003,-0.5431687708553895,1,0.141746,-0.3188383909564422,2,6.5,7.5,0.8928571428571429
ABC392,194.0,2.287801729930226,0.23201818290257847,2,0.058806,2.0,0.029403,0.028979022551291263,-1.5165569289743952,0,0.795538,0.20446200000000003,-0.5431687708553895,1,0.141746,-0.3188383909564422,2,6.5,7.5,0.8928571428571429
ABC392,315.0,2.4983105537896004,1.4699770511728787,3,0.08675,2.0,0.043375,0.04246065118876367,-0.20074042775829,1,0.795538,0.20446200000000003,-0.5431687708553895,1,0.141746,-0.3188383909564422,2,8.5,9.5,1.130952380952381
ABC393,235.0,2.3710678622717363,0.7216890910807617,2,0.069966,2.0,0.034983,0.034385001461665676,-0.988929559405303,0,0.796398,0.20360199999999995,-0.5534928910634892,1,0.119512,-0.5928937061567103,1,5.0,6.0,0.7142857142857143
ABC393,235.0,2.3710678622717363,0.7216890910807617,2,0.060038,2.0,0.030019,0.02957724867334968,-1.4581696358638974,0,0.796398,0.20360199999999995,-0.5534928910634892,1,0.119512,-0.5928937061567103,1,5.0,6.0,0.7142857142857143
ABC393,336.0,2.526339277389844,1.6348081794413933,3,0.082586,2.0,0.041293,0.04046321016484509,-0.39569208605962897,1,0.796398,0.20360199999999995,-0.5534928910634892,1,0.119512,-0.5928937061567103,1,7.0,8.0,0.9523809523809523
ABC394,97.0,1.9867717342662448,-1.53827698057496,0,0.077441,2.0,0.0387205,0.0379896672655947,-0.63711162451606,1,0.839244,0.160756,-1.067850163663719,0,0.083424,-1.0377128216981006,0,1.0,2.0,0.23809523809523808
ABC394,97.0,1.9867717342662448,-1.53827698057496,0,0.059704,2.0,0.029852,0.029415102596856646,-1.473995207743541,0,0.839244,0.160756,-1.067850163663719,0,0.083424,-1.0377128216981006,0,0.0,1.0,0.11904761904761904
ABC394,196.0,2.292256071356476,0.25821324384982663,2,0.084975,2.0,0.0424875,0.04160968421126008,-0.2837954073233666,1,0.839244,0.160756,-1.067850163663719,0,0.083424,-1.0377128216981006,0,3.0,4.0,0.47619047619047616
ABC395,182.0,2.2600713879850747,0.0689417754542109,1,0.085061,2.0,0.0425305,0.04165093085757786,-0.2797697054364369,1,0.691221,0.308779,0.7091350055960468,2,0.215598,0.5914581430981675,2,8.0,9.0,1.0714285714285714
ABC395,155.0,2.1903316981702914,-0.3411829209542633,1,0.059196,2.0,0.029598,0.02916843479595069,-1.4980701597748258,0,0.691221,0.308779,0.7091350055960468,2,0.215598,0.5914581430981675,2,7.0,8.0,0.9523809523809523
ABC395,155.0,2.1903316981702914,-0.3411829209542633,1,0.075336,2.0,0.037668,0.03697588772468302,-0.7360572255556214,0,0.691221,0.308779,0.7091350055960468,2,0.215598,0.5914581430981675,2,7.0,8.0,0.9523809523809523
ABC396,184.0,2.2648178230095364,0.09685457845921168,2,0.07534,2.0,0.03767,0.036977815121569696,-0.7358691102547125,1,0.679855,0.320145,0.845581459416105,3,0.231565,0.7882666893697639,3,12.0,13.0,1.5476190476190477
ABC396,184.0,2.2648178230095364,0.09685457845921168,2,0.058631,2.0,0.0293155,0.028894018214804577,-1.5248534124061683,0,0.679855,0.320145,0.845581459416105,3,0.231565,0.7882666893697639,3,11.0,12.0,1.4285714285714286
ABC396,200.0,2.3010299956639813,0.3098108786039144,2,0.093078,2.0,0.046539,0.04548852929026231,0.09478261895646925,2,0.679855,0.320145,0.845581459416105,3,0.231565,0.7882666893697639,3,13.0,14.0,1.6666666666666667
ABC397,144.0,2.1583624920952498,-0.5291872119221172,1,0.073792,2.0,0.036896,0.03623163492203627,-0.8086968260914901,0,0.731827,0.268173,0.22166846470063123,2,0.195988,0.3497461375626247,2,7.0,8.0,0.9523809523809523
ABC397,144.0,2.1583624920952498,-0.5291872119221172,1,0.059254,2.0,0.029627,0.02919660073216642,-1.4953211444561687,0,0.731827,0.268173,0.22166846470063123,2,0.195988,0.3497461375626247,2,7.0,8.0,0.9523809523809523
ABC397,274.0,2.437750562820388,1.11383626567883,3,0.148989,2.0,0.0744945,0.07185031842748593,2.6677119052538574,3,0.731827,0.268173,0.22166846470063123,2,0.195988,0.3497461375626247,2,12.0,13.0,1.5476190476190477
ABC398,113.0,2.05307844348342,-1.1483409332572616,0,0.075544,2.0,0.037772,0.03707610743721342,-0.7262757106481346,1,0.799958,0.20004200000000005,-0.5962299468086408,1,0.136507,-0.38341407667804916,1,4.0,5.0,0.5952380952380952
ABC398,113.0,2.05307844348342,-1.1483409332572616,0,0.059802,2.0,0.029901,0.02946268111720277,-1.4693515104679118,0,0.799958,0.20004200000000005,-0.5962299468086408,1,0.136507,-0.38341407667804916,1,3.0,4.0,0.47619047619047616
ABC398,151.0,2.1789769472931693,-0.4079578631520477,1,0.105448,2.0,0.052724,0.05138109053335614,0.6699007687427858,2,0.799958,0.20004200000000005,-0.5962299468086408,1,0.136507,-0.38341407667804916,1,6.0,7.0,0.8333333333333334
ABC399,190.0,2.278753600952829,0.1788080071794696,2,0.100503,2.0,0.0502515,0.04902965929770796,0.4403994151199093,2,0.836875,0.16312499999999996,-1.0394108139276894,0,0.088903,-0.9701789064339885,0,4.0,5.0,0.5952380952380952
ABC399,115.0,2.060697840353612,-1.1035328356516898,0,0.078304,2.0,0.039152,0.03840499593104721,-0.5965752526780549,1,0.836875,0.16312499999999996,-1.0394108139276894,0,0.088903,-0.9701789064339885,0,1.0,2.0,0.23809523809523808
ABC399,115.0,2.060697840353612,-1.1035328356516898,0,0.060449,2.0,0.0302245,0.02977673965650921,-1.4386991746500695,0,0.836875,0.16312499999999996,-1.0394108139276894,0,0.088903,-0.9701789064339885,0,0.0,1.0,0.11904761904761904
ABC400,183.0,2.2624510897304293,0.08293630939103085,1,0.078676,2.0,0.039338,0.03858397201512412,-0.5791070601410744,1,0.812041,0.187959,-0.7412838357324287,0,0.117871,-0.6131206006535906,1,3.5,4.5,0.5357142857142857
ABC400,299.0,2.4756711883244296,1.3368396237919573,3,0.117098,2.0,0.058549,0.056899102443876706,1.2084626384555262,3,0.812041,0.187959,-0.7412838357324287,0,0.117871,-0.6131206006535906,1,7.5,8.5,1.0119047619047619
ABC400,207.0,2.315970345456918,0.39767198666645187,2,0.081742,2.0,0.040871,0.04005786264584263,-0.43525429093656454,1,0.812041,0.187959,-0.7412838357324287,0,0.117871,-0.6131206006535906,1,4.5,5.5,0.6547619047619048
ABC401,126.0,2.100370545117563,-0.8702258616712945,0,0.072356,2.0,0.036178,0.035538943750655715,-0.8763039749055324,0,0.759066,0.24093399999999998,-0.10533003570448672,2,0.141562,-0.32110636693902983,1,4.5,5.5,0.6547619047619048
ABC401,206.0,2.3138672203691533,0.38530394286787384,2,0.107496,2.0,0.053748,0.05235333234873435,0.7647922583578561,3,0.759066,0.24093399999999998,-0.10533003570448672,2,0.141562,-0.32110636693902983,1,9.5,10.5,1.25
ABC401,126.0,2.100370545117563,-0.8702258616712945,0,0.083344,2.0,0.041672,0.040827114507147974,-0.3601747645740474,1,0.759066,0.24093399999999998,-0.10533003570448672,2,0.141562,-0.32110636693902983,1,5.5,6.5,0.7738095238095238
ABC402,76.0,1.8808135922807914,-2.1613949056647037,0,0.090478,2.0,0.045239,0.04424556740102737,-0.026531341561041796,2,0.86506,0.13493999999999995,-1.377765846561716,0,0.062454,-1.2961881279745069,0,2.0,3.0,0.35714285714285715
ABC402,245.0,2.3891660843645326,0.8281209932164638,3,0.11046,2.0,0.05523,0.053758752646089716,0.9019622745430036,3,0.86506,0.13493999999999995,-1.377765846561716,0,0.062454,-1.2961881279745069,0,6.0,7.0,0.8333333333333334
ABC402,76.0,1.8808135922807914,-2.1613949056647037,0,0.071843,2.0,0.0359215,0.035291368765660885,-0.9004674687462588,0,0.86506,0.13493999999999995,-1.377765846561716,0,0.062454,-1.2961881279745069,0,0.0,1.0,0.11904761904761904
ABC403,135.0,2.130333768495006,-0.6940183401906318,0,0.076404,2.0,0.038202,0.0374903708202322,-0.6858433111299775,1,0.808704,0.19129600000000002,-0.7012238483668174,1,0.101786,-0.8113836097835858,0,2.5,3.5,0.4166666666666667
