problem_id,B_raw,B_log,z_B,s_B,T_raw_sec,T_ratio,T_log1p,z_T,s_T,AC_rate,H_diff,z_H,s_H,WA_prob,z_WA,s_WA,r_score,w_p
ABC392,194.0,2.287801729930226,0.794637198494669,3,0.061897,0.0309485,0.030479252283810217,-1.1099218058382025,0,0.795538,0.20446200000000003,-0.5431687708553892,1,0.141746,-0.3188383909564422,2,7.5,1.0
ABC393,235.0,2.3710678622717363,1.3619360574402701,3,0.069966,0.034983,0.034385001461665676,-0.7344672051885421,0,0.796398,0.20360199999999995,-0.5534928910634889,1,0.119512,-0.5928937061567103,1,6.0,0.8235294117647058
ABC394,97.0,1.9867717342662448,-1.2563043817886355,0,0.077441,0.0387205,0.0379896672655947,-0.3879553586104252,2,0.839244,0.160756,-1.0678501636637185,0,0.083424,-1.0377128216981006,0,2.0,0.35294117647058826
ABC395,155.0,2.1903316981702914,0.13056603001508477,2,0.075336,0.037668,0.03697588772468302,-0.4854086704712708,1,0.691221,0.308779,0.7091350055960471,3,0.215598,0.5914581430981675,3,12.0,1.5294117647058822
ABC396,184.0,2.2648178230095364,0.6380459914389404,2,0.07534,0.03767,0.036977815121569696,-0.4852233923094055,1,0.679855,0.320145,0.8455814594161053,3,0.231565,0.7882666893697639,3,12.0,1.5294117647058822
ABC397,144.0,2.1583624920952498,-0.08724274310510718,1,0.073792,0.036896,0.03623163492203627,-0.5569527267011065,1,0.731827,0.268173,0.22166846470063156,2,0.195988,0.3497461375626247,2,8.0,1.0588235294117647
ABC398,113.0,2.05307844348342,-0.8045514370852237,0,0.075544,0.037772,0.03707610743721342,-0.4757746795435722,1,0.799958,0.20004200000000005,-0.5962299468086405,1,0.136507,-0.38341407667804916,1,4.0,0.5882352941176471
ABC399,115.0,2.060697840353612,-0.7526398731784819,0,0.078304,0.039152,0.03840499593104721,-0.34803035290090595,2,0.836875,0.16312499999999996,-1.039410813927689,0,0.088903,-0.9701789064339885,0,2.0,0.35294117647058826
ABC400,183.0,2.2624510897304293,0.6219212471892703,2,0.078676,0.039338,0.03858397201512412,-0.33082561416501194,2,0.812041,0.187959,-0.7412838357324284,0,0.117871,-0.6131206006535906,1,5.5,0.7647058823529411
ABC401,126.0,2.100370545117563,-0.4823465436940855,0,0.072356,0.036178,0.035538943750655715,-0.623540230219966,0,0.759066,0.24093399999999998,-0.10533003570448639,2,0.141562,-0.32110636693902983,1,4.5,0.6470588235294118
ABC402,76.0,1.8808135922807914,-1.9782057281584535,0,0.071843,0.0359215,0.035291368765660885,-0.6473392922921283,0,0.86506,0.13493999999999995,-1.3777658465617155,0,0.062454,-1.2961881279745069,0,0.0,0.11764705882352941
