track,metric,mean,mean_ci_lo,mean_ci_hi,d_mean,d_mean_ci_lo,d_mean_ci_hi,median,median_ci_lo,median_ci_hi
CoT,pass@1,0.6300000000000001,0.501625,0.7546666666666667,0.641392156862745,0.5136143591390943,0.765511024689596,,,
CoT,pass@10,0.8652916539114416,0.7368883229146578,0.9650781262930388,0.9066890896575679,0.7978970552162415,0.9868868481210344,,,
CoT,pass@100,0.9,0.7666666666666667,1.0,0.9411764705882353,0.8489634895131756,1.0,,,
CoT,AUC_logk,3.820501342485568,3.2390505812172137,4.2927718861163955,3.982517746492616,3.525460753354249,4.340709553402637,,,
CoT,k50,,,,,,,1.0,1.0,1.0
CoT,k90,,,,,,,2.0,1.0,4.0
baseline,pass@1,0.6273333333333332,0.499,0.7556749999999999,0.6135882352941177,0.48433022269807285,0.7472805346764966,,,
baseline,pass@10,0.84624213326662,0.7119237955035727,0.959599830670962,0.8639563176333861,0.7239951048305454,0.9619552786529416,,,
baseline,pass@100,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.8823529411764707,0.7499446902654867,0.9789062707321603,,,
baseline,AUC_logk,3.747511336830506,3.119982152708807,4.260654032300673,3.796302339918673,3.207190294243456,4.254726482293972,,,
baseline,k50,,,,,,,1.0,1.0,1.0
baseline,k90,,,,,,,2.0,1.0,3.0
feedback,pass@1,0.7646666666666667,0.6493166666666667,0.8753499999999999,0.7573529411764707,0.6401568351789704,0.8669906420875966,,,
feedback,pass@10,0.9235861793949043,0.8301899902976683,0.9965203704317056,0.9279010948446302,0.8222416472911953,0.9969195002611325,,,
feedback,pass@100,0.9666666666666667,0.9,1.0,0.9647058823529412,0.8848428763600759,1.0,,,
feedback,AUC_logk,4.168378081387695,3.776189968387828,4.493100376024272,4.1765270144096,3.7480071357821605,4.484687152958415,,,
feedback,k50,,,,,,,1.0,1.0,1.0
feedback,k90,,,,,,,1.0,1.0,2.0
