track,metric,mean,mean_ci_lo,mean_ci_hi,d_mean,d_mean_ci_lo,d_mean_ci_hi,median,median_ci_lo,median_ci_hi
CoT,pass@1,0.6920000000000001,0.5553333333333335,0.8150000000000001,0.6924705882352941,0.5608130611156082,0.8128090257394441,,,
CoT,pass@10,0.8704265151319226,0.7485615628098853,0.9658356559816922,0.8896630023394252,0.7690734890820443,0.9735407884132243,,,
CoT,pass@100,0.9333333333333333,0.8333333333333334,1.0,0.9372549019607843,0.839622641509434,1.0,,,
CoT,AUC_logk,3.9230255701116055,3.4228548238638363,4.361584087855191,3.9835090439917527,3.5058130039717237,4.366754100710777,,,
CoT,k50,,,,,,,1.0,1.0,1.0
CoT,k90,,,,,,,1.5,1.0,2.0
baseline,pass@1,0.6846666666666666,0.5493083333333333,0.8166666666666667,0.6827843137254902,0.5389707887164488,0.8167500892009868,,,
baseline,pass@10,0.8504234507101338,0.7261900539603282,0.9544892695867372,0.8731949465082997,0.7537912731272881,0.9608406184622277,,,
baseline,pass@100,0.9333333333333333,0.8333333333333334,1.0,0.9372549019607843,0.8374982277882798,1.0,,,
baseline,AUC_logk,3.866640413326036,3.3278536191275694,4.312941807684766,3.929731436758427,3.397388005514183,4.326054613608387,,,
baseline,k50,,,,,,,1.0,1.0,1.0
baseline,k90,,,,,,,1.5,1.0,2.0
feedback,pass@1,0.7929999999999998,0.6706666666666666,0.9006833333333332,0.8084313725490195,0.6894036827633613,0.9064921593055875,,,
feedback,pass@10,0.930882219005905,0.8510574958461169,0.9920051666139876,0.9388396677024131,0.8508564064265366,0.9930470877907577,,,
feedback,pass@100,0.9666666666666667,0.9,1.0,0.9647058823529412,0.883091362785686,1.0,,,
feedback,AUC_logk,4.220365781801889,3.8432435646590055,4.50756929141462,4.255167252985645,3.868433367376152,4.520663629312018,,,
feedback,k50,,,,,,,1.0,1.0,1.0
feedback,k90,,,,,,,1.0,1.0,2.0
