problem_id,track,n_attempts,x_ac,k50,k90,auc_logk,label_AC,label_WA,label_TLE,label_RE,label_MLE,label_CE,label_OTHER,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5,pass_at_6,pass_at_7,pass_at_8,pass_at_9,pass_at_10,pass_at_11,pass_at_12,pass_at_13,pass_at_14,pass_at_15,pass_at_16,pass_at_17,pass_at_18,pass_at_19,pass_at_20,pass_at_21,pass_at_22,pass_at_23,pass_at_24,pass_at_25,pass_at_26,pass_at_27,pass_at_28,pass_at_29,pass_at_30,pass_at_31,pass_at_32,pass_at_33,pass_at_34,pass_at_35,pass_at_36,pass_at_37,pass_at_38,pass_at_39,pass_at_40,pass_at_41,pass_at_42,pass_at_43,pass_at_44,pass_at_45,pass_at_46,pass_at_47,pass_at_48,pass_at_49,pass_at_50,pass_at_51,pass_at_52,pass_at_53,pass_at_54,pass_at_55,pass_at_56,pass_at_57,pass_at_58,pass_at_59,pass_at_60,pass_at_61,pass_at_62,pass_at_63,pass_at_64,pass_at_65,pass_at_66,pass_at_67,pass_at_68,pass_at_69,pass_at_70,pass_at_71,pass_at_72,pass_at_73,pass_at_74,pass_at_75,pass_at_76,pass_at_77,pass_at_78,pass_at_79,pass_at_80,pass_at_81,pass_at_82,pass_at_83,pass_at_84,pass_at_85,pass_at_86,pass_at_87,pass_at_88,pass_at_89,pass_at_90,pass_at_91,pass_at_92,pass_at_93,pass_at_94,pass_at_95,pass_at_96,pass_at_97,pass_at_98,pass_at_99,pass_at_100
ABC392,CoT,100,81,1,2,4.517980186170205,81,19,0,0,0,0,0,0.81,0.9654545454545455,0.9940074211502783,0.9990115333856129,0.999845552091502,0.9999772392555898,0.9999968522374751,0.9999995938370936,0.9999999514370438,0.9999999946634114,0.9999999994663411,0.9999999999520307,0.9999999999961843,0.9999999999997369,0.9999999999999847,0.9999999999999993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ABC393,CoT,100,1,50,90,0.9908022813623977,1,99,0,0,0,0,0,0.010000000000000009,0.020000000000000018,0.030000000000000027,0.040000000000000036,0.050000000000000044,0.06000000000000005,0.07000000000000006,0.08000000000000007,0.09000000000000008,0.10000000000000009,0.1100000000000001,0.1200000000000001,0.13000000000000012,0.14000000000000012,0.15000000000000013,0.16000000000000014,0.17000000000000015,0.18000000000000016,0.19000000000000017,0.20000000000000018,0.2100000000000002,0.2200000000000002,0.2300000000000002,0.2400000000000002,0.2500000000000002,0.26000000000000023,0.27000000000000024,0.28000000000000025,0.29000000000000026,0.30000000000000027,0.3100000000000003,0.3200000000000003,0.3300000000000003,0.3400000000000003,0.3500000000000003,0.3600000000000003,0.37000000000000033,0.38000000000000034,0.39000000000000035,0.40000000000000036,0.41000000000000036,0.4200000000000004,0.4300000000000004,0.4400000000000004,0.4500000000000004,0.4600000000000004,0.4700000000000004,0.4800000000000004,0.49000000000000044,0.5000000000000004,0.5100000000000005,0.5200000000000005,0.5300000000000005,0.5400000000000005,0.5500000000000005,0.5600000000000005,0.5700000000000005,0.5800000000000005,0.5900000000000005,0.6000000000000005,0.6100000000000005,0.6200000000000006,0.6300000000000004,0.6400000000000003,0.6500000000000004,0.6600000000000004,0.6700000000000004,0.6800000000000004,0.6900000000000004,0.7000000000000004,0.7100000000000004,0.7200000000000003,0.7300000000000003,0.7400000000000003,0.7500000000000003,0.7600000000000003,0.7700000000000002,0.7800000000000002,0.7900000000000003,0.8000000000000003,0.8100000000000003,0.8200000000000003,0.8300000000000003,0.8400000000000003,0.8500000000000002,0.8600000000000002,0.8700000000000002,0.8800000000000001,0.8900000000000001,0.9000000000000001,0.9100000000000001,0.9200000000000002,0.9300000000000002,0.9400000000000001,0.9500000000000001,0.9600000000000001,0.9700000000000001,0.98,0.99,1.0
ABC394,CoT,100,90,1,1,4.565247549387755,90,10,0,0,0,0,0,0.9,0.990909090909091,0.9992578849721707,0.9999464453072701,0.9999966528317044,0.9999998238332476,0.9999999925035424,0.9999999997581788,0.999999999994743,0.9999999999999423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ABC395,CoT,100,100,1,1,4.605170185988092,100,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ABC396,CoT,100,99,1,1,4.601704450085292,99,1,0,0,0,0,0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ABC397,CoT,100,100,1,1,4.605170185988092,100,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ABC398,CoT,100,3,21,54,1.8153535748862046,3,97,0,0,0,0,0,0.030000000000000027,0.05939393939393944,0.08818800247371683,0.11638837353123077,0.14400123685837984,0.17103277674706252,0.1974891774891775,0.22337662337662334,0.24870129870129865,0.273469387755102,0.29768707482993195,0.321360544217687,0.34449598021026584,0.36709956709956704,0.38917748917748907,0.4107359307359306,0.4317810760667903,0.4523191094619665,0.472356215213358,0.49189857761286326,0.5109523809523808,0.5295238095238095,0.5476190476190476,0.5652442795299938,0.5824056895485467,0.5991094619666049,0.6153617810760668,0.6311688311688312,0.6465367965367965,0.6614718614718615,0.6759802102659245,0.6900680272108843,0.7037414965986395,0.7170068027210884,0.7298701298701298,0.7423376623376623,0.7544155844155844,0.7661100803957946,0.7774273345701916,0.7883735312306741,0.7989548546691403,0.8091774891774891,0.819047619047619,0.8285714285714285,0.8377551020408163,0.8466048237476809,0.8551267779839208,0.8633271490414347,0.8712121212121212,0.8787878787878788,0.886060606060606,0.8930364873222016,0.899721706864564,0.9061224489795918,0.9122448979591836,0.9180952380952381,0.9236796536796537,0.929004329004329,0.9340754483611626,0.9388991960420532,0.9434817563388992,0.9478293135435992,0.9519480519480519,0.9558441558441558,0.9595238095238096,0.9629931972789115,0.9662585034013605,0.9693259121830551,0.9722016079158936,0.9748917748917749,0.9774025974025974,0.9797402597402597,0.9819109461966605,0.9839208410636981,0.9857761286332715,0.987482993197279,0.9890476190476191,0.9904761904761905,0.9917748917748918,0.9929499072356215,0.9940074211502783,0.9949536178107606,0.9957946815089672,0.9965367965367965,0.9971861471861472,0.9977489177489177,0.9982312925170068,0.998639455782313,0.9989795918367347,0.9992578849721707,0.9994805194805195,0.9996536796536797,0.9997835497835498,0.9998763141620285,0.9999381570810142,0.9999752628324057,0.9999938157081014,1.0,1.0,1.0
ABC399,CoT,100,100,1,1,4.605170185988092,100,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ABC400,CoT,100,44,2,4,4.138117282494429,44,56,0,0,0,0,0,0.43999999999999995,0.6888888888888889,0.8285714285714285,0.9063328424153166,0.9492636229749631,0.9727625765444539,0.9855120088002415,0.992366542271095,0.9960173264023104,0.9979430147352593,0.9989486519757992,0.9994684195383254,0.9997342097691627,0.9998686324146436,0.9999358437373841,0.9999690540380324,0.9999852638276344,0.9999930757744306,0.999996791212541,0.9999985342575805,0.9999993404159112,0.9999997077792012,0.9999998726217031,0.9999999454093014,0.9999999770144427,0.999999990499303,0.9999999961483661,0.9999999984698988,0.9999999994049606,0.9999999997737175,0.9999999999159522,0.9999999999695479,0.9999999999892522,0.9999999999963105,0.9999999999987702,0.9999999999996027,0.9999999999998759,0.9999999999999626,0.9999999999999891,0.999999999999997,0.9999999999999992,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ABC401,CoT,100,100,1,1,4.605170185988092,100,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
