model,track,k,pearson_corr_w_vs_pass,spearman_corr_w_vs_pass,n
Llama-3.1-8B-Instruct,CoT,1,0.0656252775969879,-0.009410718788923668,30
Llama-3.1-8B-Instruct,CoT,10,0.2527202750551548,0.02051576807103528,30
Llama-3.1-8B-Instruct,CoT,100,0.27678580434774896,0.2513890808534217,30
Llama-3.1-8B-Instruct,baseline,1,-0.07722966131832312,-0.10447100033353827,30
Llama-3.1-8B-Instruct,baseline,10,0.10435633057874744,-0.0817101938712238,30
Llama-3.1-8B-Instruct,baseline,100,0.09305513521678983,0.09670670009994574,30
Llama-3.1-8B-Instruct,feedback,1,-0.04661668879104791,-0.09188164763316671,30
Llama-3.1-8B-Instruct,feedback,10,0.03623294096457494,-0.06754816228602971,30
Llama-3.1-8B-Instruct,feedback,100,-0.02202764294612683,-0.04309087419977942,30
deepseek-coder-7b-instruct-v1.5,CoT,1,0.0026468059351350457,-0.11179349894291131,30
deepseek-coder-7b-instruct-v1.5,CoT,10,0.1255609545895527,-0.028435671457965515,30
deepseek-coder-7b-instruct-v1.5,CoT,100,0.03170319334873227,0.03100918059328078,30
deepseek-coder-7b-instruct-v1.5,baseline,1,-0.01017176193090912,-0.09141854812987986,30
deepseek-coder-7b-instruct-v1.5,baseline,10,0.14403868754505209,-0.04778125122035189,30
deepseek-coder-7b-instruct-v1.5,baseline,100,0.03170319334873227,0.03100918059328078,30
deepseek-coder-7b-instruct-v1.5,feedback,1,0.09742618946719847,-0.016614111371202576,30
deepseek-coder-7b-instruct-v1.5,feedback,10,0.0781209684696726,0.10178436417357986,30
deepseek-coder-7b-instruct-v1.5,feedback,100,-0.02202764294612683,-0.04309087419977942,30
