contest,problem_id,total_submissions,ac_submissions,wa_submissions,ac_rate,wa_prob
abc392,abc392_a,19676,15653,2789,0.795538,0.141746
abc393,abc393_a,20157,16053,2409,0.796398,0.119512
abc394,abc394_a,19371,16257,1616,0.839244,0.083424
abc395,abc395_a,25413,17566,5479,0.691221,0.215598
abc396,abc396_a,25604,17407,5929,0.679855,0.231565
abc397,abc397_a,21736,15907,4260,0.731827,0.195988
abc398,abc398_a,18966,15172,2589,0.799958,0.136507
abc399,abc399_a,19482,16304,1732,0.836875,0.088903
abc400,abc400_a,20446,16603,2410,0.812041,0.117871
abc401,abc401_a,22612,17164,3201,0.759066,0.141562
abc402,abc402_a,16348,14142,1021,0.865060,0.062454
abc403,abc403_a,15395,12450,1567,0.808704,0.101786
abc404,abc404_a,19577,14220,3552,0.726363,0.181437
abc405,abc405_a,22189,15731,4835,0.708955,0.217901
abc406,abc406_a,22449,15095,5688,0.672413,0.253374
abc407,abc407_a,22386,15166,5842,0.677477,0.260967
abc408,abc408_a,28333,13563,12704,0.478700,0.448382
abc409,abc409_a,25504,14992,8140,0.587829,0.319166
abc410,abc410_a,17383,14629,1437,0.841569,0.082667
abc411,abc411_a,15894,12940,1785,0.814144,0.112307
abc412,abc412_a,16808,14072,1513,0.837220,0.090017
abc413,abc413_a,17438,13675,2380,0.784207,0.136484
abc414,abc414_a,16291,13758,1386,0.844515,0.085078
abc415,abc415_a,17654,13990,2015,0.792455,0.114138
abc416,abc416_a,20207,13886,4402,0.687188,0.217845
abc417,abc417_a,18639,13602,3547,0.729760,0.190300
abc418,abc418_a,20970,14123,3962,0.673486,0.188937
abc419,abc419_a,19843,14362,3828,0.723782,0.192914
abc420,abc420_a,17405,12994,3183,0.746567,0.182878
abc421,abc421_a,17928,13739,2092,0.766343,0.116689
