track,CoT,CoT,baseline,baseline,feedback,feedback
model,Llama-3.1-8B-Instruct,deepseek-coder-7b-instruct-v1.5,Llama-3.1-8B-Instruct,deepseek-coder-7b-instruct-v1.5,Llama-3.1-8B-Instruct,deepseek-coder-7b-instruct-v1.5
problem_id,,,,,,
ABC406,0.9963704660241284,0.9999998111668652,0.9641066533825108,0.9999999796239344,0.996985641274276,1.0
ABC407,0.9963704660241284,0.9770827595419784,0.9937887341643682,0.8192312690590375,0.9999510314630636,0.9999998867001192
ABC416,0.9999726906236316,1.0,0.9999726906236316,1.0,1.0,1.0
ABC405,1.0,0.999998842885504,1.0,0.9999999988765076,1.0,1.0
ABC395,1.0,1.0,1.0,1.0,1.0,1.0
ABC396,1.0,1.0,1.0,1.0,1.0,1.0
ABC408,0.9167732616230602,0.9048837275692116,0.9992618438219054,0.9048837275692116,0.9999962731896757,0.996985641274276
ABC419,1.0,1.0,1.0,1.0,1.0,1.0
ABC420,0.9856735847922268,0.9999995126438946,0.9521134438156096,0.999999693146156,0.9997008680425944,1.0
ABC409,0.9999999988765076,0.9999999974721424,0.9999998111668652,0.9997645131399148,1.0,0.9999999999421731
ABC418,0.9999999999993644,1.0,0.9999999988765076,1.0,0.9999999999999424,1.0
ABC417,0.9997008680425944,0.9999992418905028,0.9999992418905028,0.9999998867001192,0.9999999999961872,1.0
ABC404,0.0,0.0,0.0,0.0,0.0,0.0
ABC397,1.0,1.0,1.0,1.0,1.0,1.0
ABC392,0.9999992418905028,0.9999999946634114,0.9999992418905028,0.9999999946634114,1.0,0.9999999796239344
ABC415,1.0,1.0,0.0,1.0,1.0,1.0
ABC421,0.1,0.999997437817902,0.0,0.999406580327414,0.1,0.9999992418905028
ABC413,1.0,1.0,1.0,1.0,1.0,1.0
ABC414,0.973325834876729,0.0,0.5332595856827855,0.0,0.9048837275692116,0.6287242566803458
ABC393,0.999914996148584,0.1,0.999914996148584,0.1,0.999935235160826,0.768880443455181
ABC400,0.999406580327414,0.9979430147352591,0.9999924248529276,0.9999999893268228,0.9999999998265195,0.999999999983478
ABC401,1.0,1.0,1.0,1.0,1.0,1.0
ABC398,0.0,0.273469387755102,0.0,0.273469387755102,0.706243367922911,0.5332595856827855
ABC403,0.9999946528373608,0.8594864906551343,0.9999999893268228,0.416247633073848,1.0,0.998617545617528
ABC394,0.999997437817902,0.9999999999999424,0.999997437817902,0.9999999999999424,1.0,1.0
ABC399,1.0,1.0,1.0,1.0,1.0,1.0
ABC412,1.0,1.0,0.9999999995373856,1.0,0.9999999999961872,1.0
ABC410,0.99124953743911,0.999935235160826,0.9448579049997928,0.9997008680425944,0.9998892374057308,0.9999999893268228
ABC402,0.0,1.0,1.0,1.0,1.0,1.0
ABC411,1.0,1.0,1.0,1.0,1.0,1.0
