model,track,k,mean_pass,mean_ci_lo,mean_ci_hi,D_pass,D_ci_lo,D_ci_hi,n_problems
Llama-3.1-8B-Instruct,CoT,1,0.6300000000000001,0.5013166666666666,0.75635,0.6413921568627451,0.5132958554831517,0.7712310117302051,30
Llama-3.1-8B-Instruct,CoT,2,0.7416700336700335,0.6199050505050504,0.8604257575757575,0.7632141018023373,0.6472325201267559,0.8740271106861282,30
Llama-3.1-8B-Instruct,CoT,3,0.7933244691816121,0.6715934704184704,0.9092026489383631,0.8214338705179042,0.7085251358397863,0.918933388052541,30
Llama-3.1-8B-Instruct,CoT,4,0.8214479743787549,0.697670847545516,0.9331002577850884,0.8540683872424323,0.7431874004527735,0.9446543463648296,30
Llama-3.1-8B-Instruct,CoT,5,0.8380627816314487,0.7144467231864369,0.9470524708588267,0.8737483614189193,0.7636118804479278,0.9599282952872216,30
Llama-3.1-8B-Instruct,CoT,6,0.8484512560297962,0.7224442578985342,0.9542471064317306,0.8862183648381663,0.7807397058852726,0.9711725090561888,30
Llama-3.1-8B-Instruct,CoT,7,0.8552309073430685,0.727323469118366,0.9596976858021679,0.8944258163554814,0.788923561326851,0.978966187528079,30
Llama-3.1-8B-Instruct,CoT,8,0.8598119269241111,0.7311710452190333,0.9625495971769309,0.9000011391047059,0.7924409637732616,0.9836377050346214,30
Llama-3.1-8B-Instruct,CoT,9,0.8630033065214094,0.734274383568841,0.9646629735290683,0.9038960117819115,0.7949183883138905,0.9868678809708652,30
Llama-3.1-8B-Instruct,CoT,10,0.8652916539114416,0.7363722371520098,0.9662146465017056,0.906689089657568,0.7966791537274248,0.989418897008411,30
Llama-3.1-8B-Instruct,CoT,11,0.8669803430019234,0.7380109051393229,0.9675842705010912,0.9087437553713902,0.7992593753672784,0.9908472397038796,30
Llama-3.1-8B-Instruct,CoT,12,0.8682638055272333,0.7393671091740643,0.9686573106914571,0.9102943025661464,0.8013885657751108,0.9925204521145953,30
Llama-3.1-8B-Instruct,CoT,13,0.8692694145936702,0.740557239632873,0.9695265126522085,0.9114951943242827,0.8024826365780662,0.9940724223883507,30
Llama-3.1-8B-Instruct,CoT,14,0.8700821314425732,0.7416036902613695,0.9702559556996899,0.9124502491017035,0.8033029609374065,0.9947649647310275,30
Llama-3.1-8B-Instruct,CoT,15,0.8707595024779831,0.7425481664323155,0.9708759823105815,0.9132304451035396,0.8048723520975282,0.995215893597977,30
Llama-3.1-8B-Instruct,CoT,16,0.871341028718648,0.7434193206173922,0.9714184280561552,0.913885048330388,0.8061574752473157,0.9954774626254563,30
Llama-3.1-8B-Instruct,CoT,17,0.8718541458376561,0.744237173046785,0.9719051626945945,0.9144487151751953,0.8072230601251302,0.9956397964163605,30
Llama-3.1-8B-Instruct,CoT,18,0.8723181098605293,0.7450159322913316,0.9723514732511831,0.9149461118492774,0.8081196176013162,0.9956960989919665,30
Llama-3.1-8B-Instruct,CoT,19,0.8727465615700368,0.7457658235456495,0.9727682114768024,0.9153949715505854,0.8085992746568833,0.9959316958172355,30
Llama-3.1-8B-Instruct,CoT,20,0.8731492426742885,0.7464942934117237,0.9731631835027125,0.9158081511651152,0.8087259132150797,0.9960756926917367,30
Llama-3.1-8B-Instruct,CoT,21,0.8735331591213851,0.7472068178296504,0.9735420666903081,0.9161950365471629,0.8088450409500447,0.9961426349016338,30
Llama-3.1-8B-Instruct,CoT,22,0.873903379135743,0.7479074538800787,0.9739090263922554,0.9165625168279998,0.8090803396014384,0.9961918556096355,30
Llama-3.1-8B-Instruct,CoT,23,0.8742635868370049,0.7485992236867907,0.9742671388505915,0.9169156691393987,0.8106957627141864,0.9962281092673695,30
Llama-3.1-8B-Instruct,CoT,24,0.874616470339718,0.7492843863232136,0.974618686520927,0.9172582457941965,0.8116931994985802,0.9962547335346154,30
Llama-3.1-8B-Instruct,CoT,25,0.8749639964672913,0.7499646335884718,0.9749653678214607,0.9175930247374368,0.8121571470024637,0.9962742204311531,30
Llama-3.1-8B-Instruct,CoT,26,0.875307606930319,0.7506412330079291,0.9753084483536016,0.9179220640483101,0.8127441600681928,0.9962882880043034,30
Llama-3.1-8B-Instruct,CoT,27,0.8756483595304935,0.7513151335338084,0.9756488713234579,0.9182468882457774,0.8129882720439062,0.99629836526528,30
Llama-3.1-8B-Instruct,CoT,28,0.8759870304971417,0.7519870444030804,0.9759873390087438,0.9185686255610599,0.8133718531298373,0.9963056505527271,30
Llama-3.1-8B-Instruct,CoT,29,0.8763241890884619,0.7526574943677836,0.9763243733425392,0.9188881095954967,0.813759952540239,0.9963108931321045,30
Llama-3.1-8B-Instruct,CoT,30,0.8766602522336229,0.7533268763816862,0.9766603612246593,0.9192059548845779,0.8141976618919715,0.9963146473457352,30
Llama-3.1-8B-Instruct,CoT,31,0.8769955247037386,0.7539954813975605,0.9769955885360793,0.9195226132059101,0.8151563581081891,0.9963173219112333,30
Llama-3.1-8B-Instruct,CoT,32,0.8773302287227308,0.7546635239488075,0.9773302657228948,0.9198384155956257,0.816114980999018,0.9963192170183823,30
Llama-3.1-8B-Instruct,CoT,33,0.8776645258304796,0.7553311615011559,0.9776645470484556,0.9201536037119515,0.8168884565693613,0.9963205522188173,30
Llama-3.1-8B-Instruct,CoT,34,0.8779985330372554,0.7559985090666492,0.9779985450696916,0.9204683532342579,0.8168988640039616,0.9963214873572681,30
Llama-3.1-8B-Instruct,CoT,35,0.8783323347583298,0.7566656502110258,0.9783323415028494,0.9207827912967084,0.8169088900897031,0.9963221382424603,30
Llama-3.1-8B-Instruct,CoT,36,0.8786659916226579,0.7573326453168636,0.9786659953575716,0.921097009450567,0.816918646881492,0.9963225883444641,30
Llama-3.1-8B-Instruct,CoT,37,0.8789995469633337,0.7579995377621918,0.9789995490055937,0.921411073275888,0.8170427773795701,0.9963228974954043,30
Llama-3.1-8B-Instruct,CoT,38,0.879333031588491,0.7586663585198818,0.9793330326905244,0.9217250294852248,0.8177388573149745,0.9963231083355971,30
Llama-3.1-8B-Instruct,CoT,39,0.8796664672776235,0.7593331295647594,0.9796664678641205,0.9220389111536896,0.8184408244606008,0.9963232510684482,30
Llama-3.1-8B-Instruct,CoT,40,0.8799998693345719,0.7599998663842221,0.9799998696422089,0.9223527415529238,0.8191530935373142,0.9963233469511427,30
Llama-3.1-8B-Instruct,CoT,41,0.8803332484439357,0.7606665798178835,0.9803332486028655,0.9226665369482163,0.8198653624895196,0.9963234108441081,30
Llama-3.1-8B-Instruct,CoT,42,0.8806666120146478,0.7613332773975571,0.9806666120954523,0.9229803086285372,0.8213246711404514,0.9963234530628235,30
Llama-3.1-8B-Instruct,CoT,43,0.8809999651473529,0.7619999643171894,0.9809999651877518,0.9232940643715546,0.8228840202536373,0.9963234807150219,30
Llama-3.1-8B-Instruct,CoT,44,0.8813333113269909,0.7626666441303285,0.9813333113468343,0.9236078094945124,0.8232536827866779,0.9963234986603088,30
Llama-3.1-8B-Instruct,CoT,45,0.8816666529156164,0.7633333192482054,0.9816666529251832,0.9239215476031891,0.82355007158743,0.9963235101942948,30
Llama-3.1-8B-Instruct,CoT,46,0.8819999915007752,0.7639999912928697,0.9819999915052974,0.9242352811220256,0.8237795644637453,0.996323517532949,30
Llama-3.1-8B-Instruct,CoT,47,0.882333328140046,0.7646666613456613,0.9823333281421394,0.9245490116666462,0.8241389754991092,0.9963235221530058,30
Llama-3.1-8B-Instruct,CoT,48,0.8826666635314182,0.7653333301206595,0.9826666635323661,0.9248627403036225,0.8246889751535921,0.9963235250293618,30
Llama-3.1-8B-Instruct,CoT,49,0.8829999981310573,0.765999998084756,0.9829999981314768,0.9251764677301485,0.8251021588883176,0.9963235267992909,30
Llama-3.1-8B-Instruct,CoT,50,0.8833333322340219,0.7666666644682145,0.9833333322342026,0.9254901943972592,0.8256736722848029,0.9963235278750662,30
