model,track,w_bin,k,mean_pass,mean_ci_lo,mean_ci_hi,D_pass,D_ci_lo,D_ci_hi,n_problems
Llama-3.1-8B-Instruct,CoT,Q1 (easy),1,0.5825,0.29874999999999996,0.83125,0.5534042553191488,0.268725,0.8271326086956519,8
Llama-3.1-8B-Instruct,CoT,Q1 (easy),10,0.7489052035117967,0.37499967972723774,0.9989058719071264,0.7435624197250705,0.37499998798977136,0.9990248123641503,8
Llama-3.1-8B-Instruct,CoT,Q1 (easy),100,0.75,0.375,1.0,0.7446808510638298,0.37499999999999994,1.0,8
deepseek-coder-7b-instruct-v1.5,CoT,Q1 (easy),1,0.71125,0.39996875000000004,0.94875,0.5695744680851064,0.2742229018840225,0.9318125,8
deepseek-coder-7b-instruct-v1.5,CoT,Q1 (easy),10,0.8916113891963756,0.6924224406818174,0.9999919043951033,0.8185039086045073,0.5807103901729859,0.9999911684310062,8
deepseek-coder-7b-instruct-v1.5,CoT,Q1 (easy),100,1.0,1.0,1.0,1.0,1.0,1.0,8
Llama-3.1-8B-Instruct,baseline,Q1 (easy),1,0.6925,0.42865624999999996,0.9149999999999999,0.5906382978723403,0.30527852020860496,0.8785,8
Llama-3.1-8B-Instruct,baseline,Q1 (easy),10,0.868106916460238,0.6181069059430123,0.9999996796115842,0.7801942969802528,0.4167143661588241,0.9999996614448512,8
Llama-3.1-8B-Instruct,baseline,Q1 (easy),100,0.875,0.625,1.0,0.7872340425531914,0.4230769230769231,1.0,8
deepseek-coder-7b-instruct-v1.5,baseline,Q1 (easy),1,0.68875,0.38359375000000007,0.94125,0.5389361702127659,0.22473240675580572,0.9224534090909089,8
deepseek-coder-7b-instruct-v1.5,baseline,Q1 (easy),10,0.8361772361089359,0.5994592745540945,0.9999626085053244,0.7335984634781036,0.4992369030086259,0.9999592092785201,8
deepseek-coder-7b-instruct-v1.5,baseline,Q1 (easy),100,1.0,1.0,1.0,1.0,1.0,1.0,8
Llama-3.1-8B-Instruct,feedback,Q1 (easy),1,0.8087500000000001,0.58246875,0.97875,0.7297872340425532,0.4276875,0.9753875,8
Llama-3.1-8B-Instruct,feedback,Q1 (easy),10,0.9632665756656036,0.8898274176463195,1.0,0.93748444901363,0.830512239655736,1.0,8
Llama-3.1-8B-Instruct,feedback,Q1 (easy),100,1.0,1.0,1.0,1.0,1.0,1.0,8
deepseek-coder-7b-instruct-v1.5,feedback,Q1 (easy),1,0.79125,0.53375,0.975,0.673191489361702,0.3934041501976284,0.9727272727272728,8
deepseek-coder-7b-instruct-v1.5,feedback,Q1 (easy),10,0.941484640078392,0.8246267310020728,0.9999999986658529,0.9004288021988626,0.7307266828162404,0.9999999985445668,8
deepseek-coder-7b-instruct-v1.5,feedback,Q1 (easy),100,1.0,1.0,1.0,1.0,1.0,1.0,8
Llama-3.1-8B-Instruct,CoT,Q2,1,0.6228571428571428,0.3498214285714286,0.8628571428571429,0.6152,0.33359069264069263,0.865859258136244,7
Llama-3.1-8B-Instruct,CoT,Q2,10,0.8675210587646752,0.6103900414439796,0.999903082353714,0.8521765717861075,0.5721766021621869,0.9999083134301633,7
Llama-3.1-8B-Instruct,CoT,Q2,100,1.0,1.0,1.0,1.0,1.0,1.0,7
deepseek-coder-7b-instruct-v1.5,CoT,Q2,1,0.5914285714285715,0.28857142857142853,0.8757142857142856,0.5989999999999999,0.28268041237113406,0.8763636363636362,7
deepseek-coder-7b-instruct-v1.5,CoT,Q2,10,0.7282772075075944,0.4419269735256004,0.9997057789361659,0.7337321819664478,0.4150907603467953,0.9997531764841919,7
deepseek-coder-7b-instruct-v1.5,CoT,Q2,100,0.8571428571428571,0.5714285714285714,1.0,0.8599999999999999,0.5840544554455446,1.0,7
Llama-3.1-8B-Instruct,baseline,Q2,1,0.47285714285714286,0.1828571428571428,0.76,0.4467999999999999,0.16243867924528305,0.75438202247191,7
Llama-3.1-8B-Instruct,baseline,Q2,10,0.6475952866691853,0.2952048810734507,0.9333206336269486,0.6146434566872723,0.2729252674075299,0.9333308329011801,7
Llama-3.1-8B-Instruct,baseline,Q2,100,0.7142857142857143,0.42857142857142855,1.0,0.6799999999999999,0.35320212433614495,1.0,7
deepseek-coder-7b-instruct-v1.5,baseline,Q2,1,0.6157142857142858,0.2899642857142856,0.9,0.6154,0.2967346938775511,0.8980769230769231,7
deepseek-coder-7b-instruct-v1.5,baseline,Q2,10,0.7284866528077482,0.4423325708780918,0.9999152242363196,0.7339050514648731,0.41538461385987585,0.999908703331609,7
deepseek-coder-7b-instruct-v1.5,baseline,Q2,100,0.8571428571428571,0.5714285714285714,1.0,0.8599999999999999,0.5840544554455446,1.0,7
Llama-3.1-8B-Instruct,feedback,Q2,1,0.6642857142857143,0.3714285714285714,0.9199999999999999,0.6526999999999998,0.34704395900755114,0.9164500858123571,7
Llama-3.1-8B-Instruct,feedback,Q2,10,0.8578312803652225,0.6006884232223654,0.999990747855335,0.8426746547596526,0.5634151913329767,0.9999911106862385,7
Llama-3.1-8B-Instruct,feedback,Q2,100,1.0,1.0,1.0,1.0,1.0,1.0,7
deepseek-coder-7b-instruct-v1.5,feedback,Q2,1,0.687142857142857,0.4055714285714285,0.9414285714285714,0.6890999999999998,0.4066193369336933,0.940673076923077,7
deepseek-coder-7b-instruct-v1.5,feedback,Q2,10,0.9139434202870725,0.8078646364838173,0.999999891696283,0.9156645367193063,0.8038382360987159,0.9999998833657043,7
deepseek-coder-7b-instruct-v1.5,feedback,Q2,100,1.0,1.0,1.0,1.0,1.0,1.0,7
Llama-3.1-8B-Instruct,CoT,Q3,1,0.6772727272727272,0.4645454545454545,0.8718409090909092,0.68684,0.47188827272727274,0.8723641934046347,11
Llama-3.1-8B-Instruct,CoT,Q3,10,0.9001951777476598,0.7121125849705692,0.9999183495383875,0.9178304898112379,0.7577988199791307,0.9999209689298779,11
Llama-3.1-8B-Instruct,CoT,Q3,100,0.9090909090909091,0.7272727272727273,1.0,0.928,0.7692307692307693,1.0,11
deepseek-coder-7b-instruct-v1.5,CoT,Q3,1,0.7436363636363637,0.5317954545454546,0.9127727272727273,0.7548,0.5479716344705212,0.9168478431372548,11
deepseek-coder-7b-instruct-v1.5,CoT,Q3,10,0.9004438612944693,0.7099788152408094,0.999999929880861,0.9181077957278408,0.7573761621535627,0.9999999381477246,11
deepseek-coder-7b-instruct-v1.5,CoT,Q3,100,0.9090909090909091,0.7272727272727273,1.0,0.928,0.7692307692307693,1.0,11
Llama-3.1-8B-Instruct,baseline,Q3,1,0.7018181818181818,0.5,0.8727272727272727,0.71172,0.5125992063492063,0.8791723140942498,11
Llama-3.1-8B-Instruct,baseline,Q3,10,0.9046703255874449,0.7227851229278525,0.9999996380389609,0.9229428994827539,0.762085835776156,0.99999970001467,11
Llama-3.1-8B-Instruct,baseline,Q3,100,0.9090909090909091,0.7272727272727273,1.0,0.928,0.7692307692307693,1.0,11
deepseek-coder-7b-instruct-v1.5,baseline,Q3,1,0.7227272727272728,0.518159090909091,0.903659090909091,0.7321599999999999,0.5188264381865765,0.9072108050847458,11
deepseek-coder-7b-instruct-v1.5,baseline,Q3,10,0.9004225286562558,0.7099788480545178,0.9999999500609131,0.9180852595889516,0.7573309150070656,0.9999999447208983,11
deepseek-coder-7b-instruct-v1.5,baseline,Q3,100,0.9090909090909091,0.7272727272727273,1.0,0.928,0.7692307692307693,1.0,11
Llama-3.1-8B-Instruct,feedback,Q3,1,0.8072727272727271,0.6108863636363637,0.950909090909091,0.81808,0.639821609682975,0.951771326242674,11
Llama-3.1-8B-Instruct,feedback,Q3,10,0.909063376475309,0.7272448558561887,0.999999999998955,0.9279685026878458,0.7691962976864006,0.9999999999989931,11
Llama-3.1-8B-Instruct,feedback,Q3,100,0.9090909090909091,0.7272727272727273,1.0,0.928,0.7692307692307693,1.0,11
deepseek-coder-7b-instruct-v1.5,feedback,Q3,1,0.8127272727272729,0.6135681818181818,0.9663636363636363,0.8272799999999999,0.6363249999999999,0.9673867270788911,11
deepseek-coder-7b-instruct-v1.5,feedback,Q3,10,0.9088168746218531,0.7267246620498683,0.9999999999894859,0.927686505301401,0.7688958389600671,0.9999999999888111,11
deepseek-coder-7b-instruct-v1.5,feedback,Q3,100,0.9090909090909091,0.7272727272727273,1.0,0.928,0.7692307692307693,1.0,11
Llama-3.1-8B-Instruct,CoT,Q4 (hard),1,0.6074999999999999,0.41,0.845,0.6006194690265487,0.41,0.8410091743119267,4
Llama-3.1-8B-Instruct,CoT,Q4 (hard),10,0.9981784056679721,0.9963704660241284,0.9999863453118158,0.9981302864323993,0.9963704660241284,0.9999860970447578,4
Llama-3.1-8B-Instruct,CoT,Q4 (hard),100,1.0,1.0,1.0,1.0,1.0,1.0,4
deepseek-coder-7b-instruct-v1.5,CoT,Q4 (hard),1,0.6875,0.41250000000000003,0.9199999999999999,0.6884070796460178,0.41842105263157897,0.9218918918918919,4
deepseek-coder-7b-instruct-v1.5,CoT,Q4 (hard),10,0.9942703533985869,0.9828120224482001,0.9999999055834325,0.9943210651335395,0.9828120696564838,0.999999902327689,4
deepseek-coder-7b-instruct-v1.5,CoT,Q4 (hard),100,1.0,1.0,1.0,1.0,1.0,1.0,4
Llama-3.1-8B-Instruct,baseline,Q4 (hard),1,0.5625,0.325,0.83,0.5536283185840708,0.3231034482758621,0.8258715596330275,4
Llama-3.1-8B-Instruct,baseline,Q4 (hard),10,0.9894670195426277,0.973073162692791,0.9999863453118158,0.9889249512879587,0.9723897333711622,0.9999860970447578,4
Llama-3.1-8B-Instruct,baseline,Q4 (hard),100,1.0,1.0,1.0,1.0,1.0,1.0,4
deepseek-coder-7b-instruct-v1.5,baseline,Q4 (hard),1,0.6925,0.31999999999999995,0.9477499999999998,0.6930088495575221,0.318421052631579,0.9450846372688475,4
deepseek-coder-7b-instruct-v1.5,baseline,Q4 (hard),10,0.9548078118898699,0.864423451513405,0.9999999994452756,0.9552077424074052,0.864423451794278,0.9999999994554237,4
deepseek-coder-7b-instruct-v1.5,baseline,Q4 (hard),100,1.0,1.0,1.0,1.0,1.0,1.0,4
Llama-3.1-8B-Instruct,feedback,Q4 (hard),1,0.735,0.51,0.96,0.7270796460176991,0.506896551724138,0.9592727272727274,4
Llama-3.1-8B-Instruct,feedback,Q4 (hard),10,0.9992341681843349,0.9977392309557069,1.0,0.9991875939751688,0.99768929318348,1.0,4
Llama-3.1-8B-Instruct,feedback,Q4 (hard),100,1.0,1.0,1.0,1.0,1.0,1.0,4
deepseek-coder-7b-instruct-v1.5,feedback,Q4 (hard),1,0.9275,0.8200000000000001,1.0,0.9285840707964602,0.8200000000000001,1.0,4
deepseek-coder-7b-instruct-v1.5,feedback,Q4 (hard),10,0.9999999716750299,0.9999999150250893,1.0,0.9999999719256932,0.9999999150250893,1.0,4
deepseek-coder-7b-instruct-v1.5,feedback,Q4 (hard),100,1.0,1.0,1.0,1.0,1.0,1.0,4
