category,problem,problem_path,code_bytes_avg,time_sec_avg,samples_time,samples_iters
baseline,ABC392,problems/baseline/ABC392,194,0.061897,9900,100
baseline,ABC393,problems/baseline/ABC393,235,0.069966,9900,100
baseline,ABC394,problems/baseline/ABC394,97,0.077441,10000,100
baseline,ABC395,problems/baseline/ABC395,155,0.075336,9900,100
baseline,ABC396,problems/baseline/ABC396,184,0.075340,9900,100
baseline,ABC397,problems/baseline/ABC397,144,0.073792,10000,100
baseline,ABC398,problems/baseline/ABC398,113,0.075544,10000,100
baseline,ABC399,problems/baseline/ABC399,115,0.078304,10000,100
baseline,ABC400,problems/baseline/ABC400,183,0.078676,10000,100
baseline,ABC401,problems/baseline/ABC401,126,0.072356,10000,100
baseline,ABC402,problems/baseline/ABC402,76,0.071843,10000,100
baseline,ABC403,problems/baseline/ABC403,135,0.076404,10000,100
baseline,ABC404,problems/baseline/ABC404,133,0.073641,10000,100
baseline,ABC405,problems/baseline/ABC405,250,0.085080,10000,100
baseline,ABC406,problems/baseline/ABC406,222,0.080807,10000,100
baseline,ABC407,problems/baseline/ABC407,159,0.082449,9938,100
baseline,ABC408,problems/baseline/ABC408,219,0.072124,10000,100
baseline,ABC409,problems/baseline/ABC409,176,0.069856,10000,100
baseline,ABC410,problems/baseline/ABC410,179,0.068869,10000,100
baseline,ABC411,problems/baseline/ABC411,84,0.068934,10000,100
baseline,ABC412,problems/baseline/ABC412,151,0.073689,10000,100
baseline,ABC413,problems/baseline/ABC413,170,0.084717,10000,100
baseline,ABC414,problems/baseline/ABC414,189,0.107364,10000,100
baseline,ABC415,problems/baseline/ABC415,154,0.102051,10000,100
baseline,ABC416,problems/baseline/ABC416,133,0.145572,10000,100
baseline,ABC417,problems/baseline/ABC417,68,0.145540,10000,100
baseline,ABC418,problems/baseline/ABC418,84,0.133736,10000,100
baseline,ABC419,problems/baseline/ABC419,188,0.115261,10000,100
baseline,ABC420,problems/baseline/ABC420,226,0.089811,10300,100
baseline,ABC421,problems/baseline/ABC421,149,0.092267,10000,100
CoT,ABC392,problems/CoT/ABC392,194,0.058806,9900,100
CoT,ABC393,problems/CoT/ABC393,235,0.060038,9900,100
CoT,ABC394,problems/CoT/ABC394,97,0.059704,10000,100
CoT,ABC395,problems/CoT/ABC395,155,0.059196,9900,100
CoT,ABC396,problems/CoT/ABC396,184,0.058631,9900,100
CoT,ABC397,problems/CoT/ABC397,144,0.059254,10000,100
CoT,ABC398,problems/CoT/ABC398,113,0.059802,10000,100
CoT,ABC399,problems/CoT/ABC399,115,0.060449,10000,100
CoT,ABC400,problems/CoT/ABC400,299,0.117098,10000,100
CoT,ABC401,problems/CoT/ABC401,206,0.107496,10000,100
CoT,ABC402,problems/CoT/ABC402,245,0.110460,10000,100
CoT,ABC403,problems/CoT/ABC403,270,0.111470,10000,100
CoT,ABC404,problems/CoT/ABC404,312,0.108950,10000,100
CoT,ABC405,problems/CoT/ABC405,303,0.105846,10000,100
CoT,ABC406,problems/CoT/ABC406,295,0.064141,10000,100
CoT,ABC407,problems/CoT/ABC407,240,0.111826,10000,100
CoT,ABC408,problems/CoT/ABC408,313,0.106935,10000,100
CoT,ABC409,problems/CoT/ABC409,238,0.101846,9851,100
CoT,ABC410,problems/CoT/ABC410,321,0.109499,10000,100
CoT,ABC411,problems/CoT/ABC411,152,0.120948,10000,100
CoT,ABC412,problems/CoT/ABC412,244,0.097184,10000,100
CoT,ABC413,problems/CoT/ABC413,268,0.088565,10000,100
CoT,ABC414,problems/CoT/ABC414,246,0.090002,10000,100
CoT,ABC415,problems/CoT/ABC415,257,0.065518,10000,100
CoT,ABC416,problems/CoT/ABC416,205,0.134664,10000,100
CoT,ABC417,problems/CoT/ABC417,157,0.114453,10000,100
CoT,ABC418,problems/CoT/ABC418,143,0.113225,10000,100
CoT,ABC419,problems/CoT/ABC419,378,0.108874,10000,100
CoT,ABC420,problems/CoT/ABC420,383,0.098557,10300,100
CoT,ABC421,problems/CoT/ABC421,309,0.127276,10000,100
feedback,ABC392,problems/feedback/ABC392,315,0.086750,9900,100
feedback,ABC393,problems/feedback/ABC393,336,0.082586,9900,100
feedback,ABC394,problems/feedback/ABC394,196,0.084975,10000,100
feedback,ABC395,problems/feedback/ABC395,182,0.085061,9900,100
feedback,ABC396,problems/feedback/ABC396,200,0.093078,9900,100
feedback,ABC397,problems/feedback/ABC397,274,0.148989,10000,100
feedback,ABC398,problems/feedback/ABC398,151,0.105448,10000,100
feedback,ABC399,problems/feedback/ABC399,190,0.100503,10000,100
feedback,ABC400,problems/feedback/ABC400,207,0.081742,10000,100
feedback,ABC401,problems/feedback/ABC401,126,0.083344,10000,100
feedback,ABC402,problems/feedback/ABC402,76,0.090478,10000,100
feedback,ABC403,problems/feedback/ABC403,139,0.082269,10000,100
feedback,ABC404,problems/feedback/ABC404,137,0.096906,10000,100
feedback,ABC405,problems/feedback/ABC405,251,0.125497,10000,100
feedback,ABC406,problems/feedback/ABC406,209,0.123467,10000,100
feedback,ABC407,problems/feedback/ABC407,165,0.097117,10000,100
feedback,ABC408,problems/feedback/ABC408,243,0.070594,10000,100
feedback,ABC409,problems/feedback/ABC409,185,0.080832,10000,100
feedback,ABC410,problems/feedback/ABC410,178,0.097854,10000,100
feedback,ABC411,problems/feedback/ABC411,84,0.097469,10000,100
feedback,ABC412,problems/feedback/ABC412,148,0.090845,10000,100
feedback,ABC413,problems/feedback/ABC413,170,0.084774,10000,100
feedback,ABC414,problems/feedback/ABC414,219,0.106824,10000,100
feedback,ABC415,problems/feedback/ABC415,154,0.109788,10000,100
feedback,ABC416,problems/feedback/ABC416,138,0.076400,10000,100
feedback,ABC417,problems/feedback/ABC417,74,0.090512,10000,100
feedback,ABC418,problems/feedback/ABC418,100,0.093478,10000,100
feedback,ABC419,problems/feedback/ABC419,188,0.101431,10000,100
feedback,ABC420,problems/feedback/ABC420,233,0.082095,10300,100
feedback,ABC421,problems/feedback/ABC421,167,0.083582,10000,100
