problem_id,deepseek-coder-7b-instruct-v1.5_CoT,deepseek-coder-7b-instruct-v1.5_baseline,deepseek-coder-7b-instruct-v1.5_feedback
ABC406,0.9999998111668652,0.9999999796239344,1.0
ABC407,0.9770827595419784,0.8192312690590375,0.9999998867001192
ABC416,1.0,1.0,1.0
ABC405,0.999998842885504,0.9999999988765076,1.0
ABC395,1.0,1.0,1.0
ABC396,1.0,1.0,1.0
ABC408,0.9048837275692116,0.9048837275692116,0.996985641274276
ABC419,1.0,1.0,1.0
ABC420,0.9999995126438946,0.999999693146156,1.0
ABC409,0.9999999974721424,0.9997645131399148,0.9999999999421731
ABC418,1.0,1.0,1.0
ABC417,0.9999992418905028,0.9999998867001192,1.0
ABC404,0.0,0.0,0.0
ABC397,1.0,1.0,1.0
ABC392,0.9999999946634114,0.9999999946634114,0.9999999796239344
ABC415,1.0,1.0,1.0
ABC421,0.999997437817902,0.999406580327414,0.9999992418905028
ABC413,1.0,1.0,1.0
ABC414,0.0,0.0,0.6287242566803458
ABC393,0.1,0.1,0.768880443455181
ABC400,0.9979430147352591,0.9999999893268228,0.999999999983478
ABC401,1.0,1.0,1.0
ABC398,0.273469387755102,0.273469387755102,0.5332595856827855
ABC403,0.8594864906551343,0.416247633073848,0.998617545617528
ABC394,0.9999999999999424,0.9999999999999424,1.0
ABC399,1.0,1.0,1.0
ABC412,1.0,1.0,1.0
ABC410,0.999935235160826,0.9997008680425944,0.9999999893268228
ABC402,1.0,1.0,1.0
ABC411,1.0,1.0,1.0
